Investigation.Type,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition
Accident,Non-Fatal,Substantial,Airplane,Beech,C-45H,2.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Substantial,Airplane,De Havilland,Dhc-2-Mk3,1.0,Turbo Prop,Unknown,0.0,0.0,0.0,4.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,150M,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC
Accident,Fatal(1),Destroyed,Airplane,Cessna,150M,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC
Accident,Fatal(1),Destroyed,Airplane,Bede Aircraft,Bd-5B,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC
Accident,Non-Fatal,Destroyed,Airplane,Cessna,182P,1.0,Reciprocating,Unknown,0.0,0.0,1.0,0.0,VMC
Accident,Non-Fatal,Destroyed,Airplane,Convair,440,2.0,Reciprocating,Unknown,0.0,0.0,2.0,1.0,VMC
Accident,Fatal(1),Destroyed,Airplane,Piper,Pa-31,2.0,Reciprocating,Unknown,1.0,0.0,0.0,0.0,VMC
Accident,Non-Fatal,Destroyed,Airplane,Piper,Pa-31T,2.0,Turbo Prop,Personal,0.0,0.0,3.0,0.0,VMC
Accident,Fatal(2),Destroyed,Airplane,Beech,F50,2.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC
Accident,Non-Fatal,Destroyed,Airplane,Cessna,150,1.0,Reciprocating,Instructional,0.0,0.0,1.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,180E,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,170B,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC
Accident,Non-Fatal,Destroyed,Airplane,Beech,C23,1.0,Reciprocating,Business,0.0,2.0,2.0,0.0,VMC
Accident,Fatal(1),Destroyed,Airplane,Cessna,172M,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC
Accident,Fatal(3),Destroyed,Airplane,Piper,Pa-28-180,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,IMC
Accident,Non-Fatal,Substantial,Airplane,Cessna,180K,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC
Accident,Fatal(4),Substantial,Airplane,Cessna,210L,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC
Accident,Fatal(1),Destroyed,Airplane,Mooney,M20F,1.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC
Accident,Fatal(2),Destroyed,Airplane,Beech,G35,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,IMC
